country,code
"Sichuan, PR China",CTU
Mexico,CUL
Mexico,CUN
Netherlands Antilles,CUR
Mexico,CUU
USA,CVG
Mexico,CVM
Australia,CVQ
United Kingdom,CVT
USA,CWA
Brazil,CWB
United Kingdom,CWL
Kiribati,CXI
Australia,CXT
USA,CYS
Philippines,CYU
Mexico,CZA
Algeria,CZL
Mexico,CZM
USA,DAB
Bangladesh,DAC
USA,DAL
Syria,DAM
USA,DAN
Tanzania,DAR
USA,DAY
Australia,DBO
USA,DBQ
Croatia (Hrvatska),DBV
Australia,DBY
USA,DCA
Australia,DDI
USA,DEC
India,DEL
USA,DEN
USA,DET
USA,DFW
USA,DFW
Saudi Arabia,DHA
USA,DHN
Timor Leste (East Timor),DIL
Indonesia,DJB
Tunisia,DJE
Indonesia,DJJ
Cote d'Ivoire,DJO
Australia,DKI
Senegal,DKR
Cameroon,DLA
"Liaoning, PR China",DLC
USA,DLG
USA,DLH
Turkey,DLM
France,DLP
Russia,DME
Thailand,DMK
Saudi Arabien,DMM
United Kingdom,DND
France,DNR
Turkey,DNZ
Tanzania,DOD
Qatar,DOH
Dominica,DOM
Australia,DPO
Indonesia,DPS
Australia,DRB
USA,DRO
Germany,DRS
Australia,DRW
United Kingdom,DSA
United Kingdom,DSA
Pakistan,DSK
USA,DSM
Germany,DTM
USA,DTT
USA,DTW
Ireland,DUB
New Zealand,DUD
USA,DUJ
South Africa,DUR
Germany,DUS
USA,DUT
USA,DVL
United Arab Emirates,DXB
Australia,DYA
Tajikistan,DYU
Mayotte,DZA
Switzerland/France,EAP
Spain,EAS
USA,EAT
USA,EAU
Italy,EBA
Uganda,EBB
Denmark,EBJ
France,EBU
"Scotland, UK",EDI
Australia,EDR
France,EGC
USA,EGE
Iceland,EGS
Netherlands,EIN
Virgin Islands (British),EIS
USA,EKI
USA,EKO
Bahamas,ELH
South Africa,ELL
USA,ELM
USA,ELP
South Africa,ELS
USA,ELY
United Kingdom,EMA
Australia,EMD
Egypt,EMY
USA,ENA
France,ENC
Finland,ENF
Australia,EPR
Turkey,ERC
Germany,ERF
USA,ERI
Namibia,ERS
Turkey,ERZ
Turkey,ESB
USA,ESC
USA (LA),ESF
Israel,ETH
France,ETZ
USA,EUG
Norway,EVE
Armenia,EVN
USA,EVV
USA,EWN
USA,EWR
United Kingdom,EXT
USA,EYW
Argentina,EZE
Denmark,FAE
USA,FAI
Portugal,FAO
USA,FAR
USA,FAT
USA,FAY
Congo (DRC),FBM
Norway,FBU
USA,FCA
Italy,FCO
Martinique,FDF
Germany,FDH
Morocco,FEZ
USA,FHU
United Kingdom,FIE
Congo (DRC),FIH
United Arab Emirates,FJR
United Arab Emirates,FJR
Germany,FKB
Congo (DRC),FKI
USA,FKL
Japan,FKS
USA,FLG
USA,FLL
Brazil,FLN
USA,FLO
Italy,FLR
USA,FMN
Germany,FMO
USA,FMY
Sierra Leone,FNA
Portugal,FNC
France,FNI
North Korea,FNJ
USA,FNT
USA,FOD
Brazil,FOR
United Kingdom,FOU
Bahamas,FPO
Bahamas,FPO
Germany,FRA
USA,FRI
France,FRJ
Norway,FRO
Kyrgyzstan,FRU
Botswana,FRW
France,FSC
USA,FSD
USA,FSM
Canada,FSP
Spain,FUE
Japan,FUK
Wallis and Futuna Islands,FUT
USA,FWA
USA,FYV
USA,GAD
Japan,GAJ
India,GAU
Botswana,GBE
USA,GCC
Channel Islands,GCI
Cayman Islands,GCM
USA,GCN
Mexico,GDL
Poland,GDN
USA,GDV
USA,GEG
Guyana,GEO
Australia,GET
Australia,GEX
Australia,GFF
USA,GFK
USA,GGG
USA,GGW
Bahamas,GHB
Gibraltar,GIB
Brazil,GIG
Pakistan,GIL
Algeria,GJL
USA,GJT
Australia,GKL
United Kingdom,GLA
USA,GLH
Australia,GLT
France,GNB
Grenada,GND
Belgium,GNE
USA,GNV
Italy,GOA
India,GOI
USA,GON
Australia,GOO
Sweden,GOT
Cameroon,GOU
Australia,GOV
Bulgaria,GOZ
Greece,GPA
USA,GPT
USA,GPZ
USA,GRB
South Africa,GRJ
Spain,GRO
Netherlands,GRQ
USA,GRR
Brazil,GRU
Brazil,GRU
Spain,GRX
Austria,GRZ
Solomon Islands,GSI
USA,GSO
USA,GSP
Australia,GTE
USA,GTF
Germany,GTI
New Zealand,GTN
Guatemala,GUA
USA,GUC
Guam,GUM
Guam,GUM
Switzerland,GVA
Pakistan,GWD
Zimbabwe,GWE
Germany,GWT
Ireland,GWY
Ecuador,GYE
Brazil,GYN
Australia,GYP
Palestinian Territory,GZA
Turkey,GZT
Japan,HAC
Netherlands,HAG
Comoros (Comores),HAH
Germany,HAJ
Germany,HAM
Vietnam,HAN
Australia,HAP
USA,HAR
Norway,HAU
Cuba,HAV
Australia,HBA
Egypt,HBH
Pakistan,HDD
USA,HDN
Thailand,HDY
Finland,HEL
Greece,HER
Greece,HEW
Israel,HFA
Norway,HFT
"Zhejiang, PR China",HGH
Cote d'Ivoire,HGO
USA,HHH
Germany,HHN
USA,HIB
USA,HII
Japan,HIJ
Solomon Islands,HIR
Australia,HIS
Japan,HKD
Hong Kong,HKG
USA,HKS
Thailand,HKT
USA,HKY
South Africa,HLA
PR China,HLH
USA,HLN
Indonesia,HLP
Australia,HLT
New Zealand,HLZ
Australia,HMH
Mexico,HMO
Japan,HNA
Japan,HND
USA,HNH
Australia,HNK
USA,HNL
USA,HNS
Cuba,HOG
USA,HOM
USA,HON
Germany,HOQ
Portugal,HOR
USA,HOU
USA,HPN
"Heilongjiang, PR China",HRB
Zimbabwe,HRE
Egypt,HRG
Ukraine,HRK
USA,HRL
USA,HSV
Russia,HTA
Australia,HTI
USA,HTS
USA,HUF
French Polynesia,HUH
Viet Nam,HUI
Mexico,HUX
United Kingdom,HUY
Australia,HVB
USA,HVN
USA,HVR
Zimbabwe,HWN
USA,HYA
India,HYD
USA,HYG
USA,IAD
USA,IAG
USA,IAH
Ibiza/Spain,IBZ
Korea South,ICN
South Korea,ICN
USA,ICT
USA,IDA
Ukraine,IEV
Australia,IFL
Australia,IGH
Argentina,IGR
USA,IJX
Russia,IKT
USA,ILE
USA,ILI
USA,ILM
New Caledonia,ILP
United Kingdom,ILY
USA,IND
Serbia,INI
USA,INL
Austria,INN
United Kingdom,INV
New Caledonia,IOU
Chile,IPC
USA,IPL
USA,IPT
Peru,IQT
Australia,IRG
Central African Republic,IRO
Australia,ISA
Pakistan,ISB
Japan,ISG
USA,ISL
USA,ISO
USA,ISP
Turkey,IST
USA,ITH
Japan,ITM
USA,ITO
New Zealand,IVC
New Zealand,IVC
Finland,IVL
India,IXB
India,IXC
India,IXG
India,IXJ
India,IXR
India,IXW
USA,IYK
Turkey,IZM
Afghanistan,JAA
USA,JAC
USA,JAC
Australia,JAD
Sri Lanka,JAF
Pakistan,JAG
India,JAI
Haiti,JAK
Mexico,JAL
Bulgaria,JAM
USA,JAN
Papua New Guinea,JAQ
Peru,JAU
USA,JAX
USA,JBR
Brazil,JCB
Australia,JCK
Brazil,JCM
Brazil,JDF
India,JDH
PR China,JDZ
Saudi Arabia,JED
Haiti,JEE
USA,JEF
Channel Islands,JER
USA,JFK
India,JGA
India,JGB
PR China,JGN
"Jiangxi, China",JGS
Malaysia,JHB
Sweden,JHE
PR China,JHG
USA,JHM
Australia,JHQ
USA,JHW
Djibouti,JIB
Ethiopia,JIJ
PR China,JIL
Ethiopia,JIM
Uganda,JIN
Ecuador,JIP
Nepal,JIR
PR China,JIU
Pakistan,JIW
Peru,JJI
PR China,JJN
Sweden,JKG
Greece,JKH
Nepal,JKR
Indonesia,JKT
USA,JKV
USA,JLN
India,JLR
Brazil,JLS
Angola,JMB
Greece,JMK
Nepal,JMO
USA,JMS
PR China,JMU
Brazil,JNA
South Africa,JNB
PR China,JNG
Argentina,JNI
USA,JNU
Greece,JNX
PR China,JNZ
Finland,JOE
Brazil,JOI
Philippines,JOL
USA,JON
Nigeria,JOS
Brazil,JPA
Panama,JQE
India,JRH
Tanzania,JRO
Israel,JRS
India,JSA
Greece,JSI
Argentina,JSM
Bangladesh,JSR
USA,JST
Brazil,JTI
Greece,JTR
South Sudan,JUB
Germany,JUI
Argentina,JUJ
Peru,JUL
Nepal,JUM
Australia,JUN
Honduras,JUT
Greenland,JUV
USA,JVL
Botswana,JWA
USA,JXN
Finland,JYV
Finland,KAJ
Nigeria,KAN
Finland,KAO
Afghanistan,KBL
Ukraine,KBP
Australia,KBY
USA,KCC
Australia,KCE
Malaysia,KCH
Turkey,KCM
Turkey,KCM
Japan,KCZ
Pakistan,KDD
Pakistan,KDU
Iceland,KEF
Germany,KEL
Finland,KEM
Australia,KGC
Australia,KGI
Rwanda,KGL
Greece,KGS
Taiwan,KHH
Pakistan,KHI
Finland,KHJ
Russia,KHV
Sweden,KID
Japan,KIJ
Iraq,KIK
South Africa,KIM
Jamaica,KIN
Ireland,KIR
Zambia,KIW
Japan,KIX
Norway,KKN
Sweden,KLR
Austria,KLU
USA,KLW
Greece,KLX
South Africa,KLZ
Japan,KMI
Japan,KMJ
Namibia,KMP
Japan,KMQ
Indonesia,KNO
King Island (Australia),KNS
India,KNU
Australia,KNX
USA,KOA
United Kingdom,KOI
United Kingdom,KOI
Japan,KOJ
Finland,KOK
Australia,KRB
Poland,KRK
Sweden,KRN
Denmark,KRP
Norway,KRS
Sudan,KRT
Sweden,KSD
Sudan,KSL
Norway,KSU
Australia,KTA
USA,KTB
Nepal,KTM
USA,KTN
Australia,KTR
Finland,KTT
Malaysia,KUA
Japan,KUH
Malaysia,KUL
Finland,KUO
Greece,KVA
Kuwait,KWI
"Guangxi, PR China",KWL
Australia,KWM
Turkey,KYA
Turkey,KYS
Russia,KZN
Angola,LAD
Papua New Guinea,LAE
USA,LAF
France,LAI
USA,LAN
Mexico,LAP
USA,LAR
USA,LAS
USA,LAW
USA,LAX
United Kingdom,LBA
USA,LBB
USA,LBE
France,LBG
France,LBI
Gabon,LBQ
Malaysia,LBU
Gabon,LBV
Cyprus,LCA
Spain,LCG
USA,LCH
United Kingdom,LCY
Australia,LDC
France,LDE
Sweden,LDK
United Kingdom,LDY
United Kingdom,LDY
Australia,LEA
USA,LEB
Russia,LED
Spain,LEI
Germany,LEJ
Guinea,LEK
United Kingdom,LEQ
Australia,LER
USA,LEX
Netherlands,LEY
USA,LFT
Togo,LFW
USA,LGA
USA,LGB
Belgium,LGG
Malaysia,LGK
United Kingdom,LGW
Pakistan,LHE
United Kingdom,LHR
"Loyaute, Pazifik",LIF
France,LIG
USA,LIH
USA,LIJ
France,LIL
Peru,LIM
Italy,LIN
Congo (DRC),LIQ
Portugal,LIS
USA,LIT
Slovenia,LJU
Norway,LKL
India,LKO
Sweden,LLA
Malawi,LLW
Mexico,LMM
Italy,LMP
USA,LMT
USA,LNK
Australia,LNO
USA,LNS
USA,LNY
Austria,LNZ
United Kingdom,LON
Nigeria,LOS
Spain,LPA
Bolivia,LPB
United Kingdom,LPL
Finland,LPP
USA,LRD
Australia,LRE
USA,LRF
France,LRH
Dominican Republic,LRM
France,LRT
USA,LSE
United Kingdom,LSI
Australia,LST
Australia,LSY
Croatia (Hrvatska),LSZ
United Kingdom,LTN
Mexico,LTO
Namibia,LUD
Switzerland,LUG
South Africa,LUJ
"Yunnan, PR China",LUM
Zambia,LUN
Luxembourg,LUX
Australia,LVO
USA,LWB
United Kingdom,LWK
Ukraine,LWO
USA,LWS
USA,LWT
Egypt,LXR
USA,LYH
USA,LYO
Pakistan,LYP
Svalbard/Norway,LYR
France,LYS
United Kingdom,LYX
Mexico,LZC
Australia,LZR
India,MAA
India,MAA
Spain,MAD
USA,MAF
Spain,MAH
United Kingdom,MAN
Brazil,MAO
Venezuela,MAR
French Polynesia,MAU
Puerto Rico,MAZ
Kenya,MBA
Australia,MBH
Jamaica,MBJ
South Africa,MBM
USA,MBS
Slovenia,MBX
USA,MCE
USA,MCI
USA,MCL
USA,MCN
USA,MCO
Brazil,MCP
Oman,MCT
USA,MCW
Australia,MCY
Brazil,MCZ
Indonesia,MDC
Colombia,MDE
Myanmar,MDL
Argentina,MDQ
USA,MDT
USA,MDW
US Minor Outlying Islands,MDY
Argentina,MDZ
Saudi Arabia,MED
Saudi Arabia,MED
New Caledonia,MEE
USA,MEI
Australia,MEL
USA,MEM
Indonesia,MES
Mexico,MEX
Mexico,MEX
South Africa,MEZ
USA,MFE
Gabon,MFF
Pakistan,MFG
"Macau, China SAR",MFM
New Zealand,MFN
Papua New Guinea,MFO
Niger,MFQ
USA,MFR
Zambia,MFU
Nicaragua,MGA
Australia,MGB
South Africa,MGH
USA,MGM
Somalia,MGQ
USA,MGW
USA,MHE
Bahamas,MHH
Finland,MHQ
USA,MHT
USA,MIA
Mexico,MID
Finland,MIK
Italy,MIL
Australia,MIM
Tunisia,MIR
Cote d'Ivoire,MJC
Pakistan,MJD
Gabon,MJL
Madagascar,MJN
USA,MJQ
Greece,MJT
Spain,MJV
USA,MKE
USA,MKG
USA,MKK
USA,MKL
Australia,MKR
Australia,MKY
Malta,MLA
USA,MLB
Maledives,MLE
France,MLH
USA,MLI
Mexico,MLM
USA,MLS
USA,MLU
Liberia,MLW
Turkey,MLX
Sweden,MMA
United Kingdom,MME
Australia,MMG
Japan,MMJ
Russia,MMK
Australia,MMM
Sweden,MMX
Japan,MMY
Philippines,MNL
USA,MOB
USA,MOD
USA,MOT
Australia,MOV
Russia,MOW
French Polynesia,MOZ
Namibia,MPA
Pakistan,MPD
France,MPL
Mozambique,MPM
Australia,MQL
Turkey,MQM
South Africa,MQP
Chad,MQQ
USA,MQT
USA,MRB
France,MRS
Mauritius,MRU
Russia,MRV
USA,MRY
Australia,MRZ
United Kingdom,MSE
USA,MSL
USA,MSN
USA,MSO
USA,MSP
Belarus,MSQ
Turkey,MSR
Netherlands,MST
Lesotho,MSU
USA,MSY
USA,MTH
USA,MTJ
Australia,MTL
USA,MTM
USA,MTO
Swaziland,MTS
Mexico,MTT
Mexico,MTY
Botswana,MUB
Germany,MUC
USA,MUE
Egypt,MUH
Pakistan,MUX
Gabon,MVB
Uruguay,MVD
Cameroon,MVR
USA,MVY
Zimbabwe,MVZ
Pakistan,MWD
USA,MWH
Mexico,MXL
Italy,MXP
Australia,MYA
Kenya,MYD
Japan,MYJ
India,MYQ
USA,MYR
Malaysia,MYY
South Africa,MZF
Taiwan,MZG
France,MZM
Mexico,MZT
South Africa,MZY
Australia,NAA
India,NAG
Azerbaijan,NAJ
Fiji,NAN
Italy,NAP
Bahamas,NAS
The Bahamas,NAS
Brazil,NAT
China,NAY
Kenya,NBO
France,NCE
United Kingdom,NCL
South Africa,NCS
France,NCY
Mauritania,NDB
Chad,NDJ
Namibia,NDU
St. Kitts and Nevis,NEV
Cameroon,NGE
Japan,NGO
Japan,NGS
Cyprus,NIC
Niger,NIM
USA,NIP
Mauritania,NKC
Zambia,NLA
Mexico,NLD
Australia,NLK
South Africa,NLP
Mexico,NLU
Ukraine,NLV
"Guangxi, PR China",NNG
Ireland,NOC
Philippines,NOP
New Caledonia,NOU
United Kingdom,NQY
Australia,NRA
Sweden,NRK
Japan,NRT
Australia,NSA
New Zealand,NSN
Australia,NSO
Thailand,NST
France,NTE
Australia,NTL
Mexico,NTR
South Africa,NTY
Germany,NUE
United Kingdom,NWI
USA,NYC
USA,NZC
Australia,OAG
USA,OAJ
USA,OAK
Mexico,OAX
Central African Republic,ODA
Spain,ODB
Denmark,ODE
Ukraine,ODS
USA,OGG
Macedonia,OHD
Pakistan,OHT
Japan,OIT
Japan,OKA
USA,OKC
"Hokkaido, Japan",OKD
Japan,OKJ
Namibia,OKU
Italy,OLB
USA,OLF
Australia,OLP
USA,OMA
Namibia,OMD
USA,OME
Iran,OMH
Bosnia and Herzegovina,OMO
Namibia,OND
USA,ONT
Australia,OOL
Australia,OOM
Portugal,OPO
Sweden,ORB
USA,ORD
USA,ORF
USA,ORH
Ireland,ORK
USA,ORL
Algeria,ORN
Australia,ORS
France,ORY
Japan,OSA
USA,OSH
Croatia (Hrvatska),OSI
Norway,OSL
Iraq,OSM
USA,OTH
Romania,OTP
USA,OTZ
Burkina Faso,OUA
Morocco,OUD
South Africa,OUH
United Kingdom,OUK
Finland,OUL
Mauritania,OUZ
Russia,OVB
Spain,OVD
USA,OWB
USA,OXR
Morocco,OZZ
Germany,PAD
USA,PAH
Haiti,PAP
France,PAR
India,PAT
Mexico,PBC
Bhutan,PBH
USA,PBI
Suriname,PBM
Australia,PBO
South Africa,PBZ
Portugal,PDL
USA,PDT
USA,PDX
Italy,PEG
Colombia,PEI
China,PEK
Malaysia,PEN
Australia,PER
Pakistan,PEW
USA,PFN
Cyprus,PFO
USA,PGA
France,PGF
USA,PGV
Nigeria,PHC
Australia,PHE
USA,PHF
USA,PHL
South Africa,PHW
USA,PHX
USA,PIA
USA,PIB
USA,PIH
United Kingdom,PIK
USA,PIR
France,PIS
USA,PIT
Pakistan,PJG
USA,PKB
Botswana,PKW
USA,PLB
USA,PLN
Australia,PLO
South Africa,PLZ
USA,PMD
Spain,PMI
Italy,PMO
New Zealand,PMR
Venezuela,PMV
Brazil,PMW
Cambodia,PNH
Micronesia,PNI
Italy,PNL
"India, Maharashtra",PNQ
Congo (ROC),PNR
USA,PNS
Brazil,POA
Gabon,POG
Papua New Guinea,POM
Dominican Republic,POP
Finland,POR
Trinidad and Tobago,POS
USA,POU
Poland,POZ
American Samoa,PPG
Australia,PPP
French Polynesia (Tahiti),PPT
USA,PQI
Australia,PQQ
Czech Republic,PRG
Serbia,PRN
South Africa,PRY
Italy,PSA
USA,PSC
Egypt,PSD
Puerto Rico,PSE
USA,PSG
Pakistan,PSI
USA,PSP
Italy,PSR
South Africa,PTG
Australia,PTJ
Guadeloupe,PTP
Guadeloupe,PTP
Panama,PTY
USA,PUB
France,PUF
Australia,PUG
Dominican Republic,PUJ
Chile,PUQ
South Korea,PUS
USA,PUW
Croatia (Hrvatska),PUY
USA,PVD
China,PVG
Brazil,PVH
Greece,PVK
Mexico,PVR
USA,PWM
Mexico,PXM
Portugal,PXO
India,PYB
Thailand,PYX
South Africa,PZB
Pakistan,PZH
Venezuela,PZO
Japan,QCB
Brazil,QGF
Cyprus,QLI
Pakistan,QML
India,QNB
Serbia,QND
Singapore,QPG
Estonia,QUF
Cape Verde,RAI
India,RAJ
Morocco,RAK
USA,RAP
Cook Island,RAR
Pakistan,RAZ
Morocco,RBA
Brazil,RBR
South Africa,RCB
USA,RDD
USA,RDG
USA,RDM
USA,RDU
France,RDZ
Brazil,REC
Italy,REG
Iceland,REK
Spain,REU
USA,RFD
French Polynesia,RFP
French Polynesia,RGI
Myanmar,RGN
Myanmar,RGN
USA,RHI
Greece,RHO
USA,RIC
Brazil,RIO
Latvia,RIX
Croatia (Hrvatska),RJK
USA,RKD
USA,RKS
United Arab Emirates,RKT
Niger,RLT
Egypt,RMF
Italy,RMI
Sweden,RNB
France,RNE
Denmark,RNN
USA,RNO
France,RNS
USA,ROA
Liberia,ROB
USA,ROC
Australia,ROK
Italy,ROM
Argentina,ROS
New Zealand,ROT
Bulgaria,ROU
Mauritius,RRG
Argentina,RSA
Bahamas,RSD
USA,RST
USA,RSW
Honduras,RTB
Netherlands,RTM
Saudi Arabia,RUH
Reunion,RUN
Finland,RVN
USA,RWI
Pakistan,RWP
Pakistan,RYK
Yemen,SAH
El Salvador,SAL
USA,SAN
Brazil,SAO
Honduras,SAP
USA,SAT
USA,SAV
Turkey,SAW
Zimbabwe,SAY
USA,SBA
France,SBK
USA,SBN
USA,SBP
South Africa,SBU
Malaysia,SBW
USA,SBY
USA,SCC
USA,SCE
USA,SCF
USA,SCK
Chile,SCL
Germany,SCN
Spain,SCQ
Cuba,SCU
USA,SDF
Honduras,SDH
Japan,SDJ
Sweden,SDL
Dominican Republic,SDQ
Spain,SDR
Japan,SDS
Pakistan,SDT
Brazil,SDU
USA,SDY
USA,SEA
Libya,SEB
South Korea,SEL
United Kingdom,SEN
Egypt,SEW
Seychelles,SEZ
Tunisia,SFA
St. Martin (Guadeloupe),SFG
Greenland,SFJ
USA,SFO
Denmark,SGD
USA,SGF
Viet Nam,SGN
Viet Nam,SGN
USA,SGU
USA,SGY
China,SHA
USA,SHD
"Liaoning, PR China",SHE
United Arab Emirates,SHJ
USA,SHR
USA,SHV
Cape Verde,SID
Singapore,SIN
Ukraine,SIP
South Africa,SIS
USA,SIT
Australia,SIX
USA,SJC
Mexico,SJD
Mexico,SJD
Bosnia and Herzegovina,SJJ
Costa Rica,SJO
USA,SJT
Puerto Rico,SJU
Finland,SJY
Saint Kitts and Nevis,SKB
St. Kitts and Nevis,SKB
Uzbekistan,SKD
Greece,SKG
Greece,SKG
Macedonia,SKP
Denmark,SKS
Egypt,SKV
Pakistan,SKZ
Argentina,SLA
USA,SLC
USA,SLE
Oman,SLL
Mexico,SLP
Bulgaria,SLS
Saint Lucia,SLU
Saint Lucia,SLU
Brazil,SLZ
Portugal,SMA
USA,SMF
Greece,SMI
USA,SMX
USA,SNA
USA,SNA
Ecuador,SNC
Ireland,SNN
USA,SNS
Bulgaria,SOF
Norway,SOG
Australia,SOI
Vanuatu,SON
Finland,SOT
United Kingdom,SOU
Spain,SPC
USA,SPI
"Hokkaido, Japan",SPK
Northern Mariana Islands,SPN
USA,SPS
Croatia (Hrvatska),SPU
Cote d'Ivoire,SPY
Brazil,SRA
Bolivia,SRB
Mexico,SRL
USA,SRQ
